Nodes,Scatter Time,Computation Time,,,Nodes,Avg Scatter Time,Avg Computation Time,,FLOP,FLOPS,MFLOPS,GFLOPS
1,0.302357,0.304364,,,1,0.30407425,0.30400875,,100000000,328937900.636,328.9379,0.328938
1,0.304516,0.303824,,,2,0.541696,0.15709325,,,636564588.230,636.5646,0.636565
1,0.302741,0.303829,,,4,0.642582125,0.079047,,,1265070148.140,1265.0701,1.265070
1,0.303193,0.304280,,,8,0.7738005,0.040465625,,,2471233299.869,2471.2333,2.471233
1,0.303876,0.304036,,,0,,,,,,,
1,0.309299,0.303874,,,,,,,,,,
1,0.303358,0.303792,,,,,,,,,,
1,0.303254,0.304071,,,,,,,,,,
2,0.529139,0.156964,,,,,,,,,,
2,0.521678,0.156791,,,,,,,,,,
2,0.524981,0.158145,,,,,,,,,,
2,0.522342,0.157182,,,,,,,,,,
2,0.525191,0.156986,,,,,,,,,,
2,0.670373,0.156986,,,,,,,,,,
2,0.518764,0.156803,,,,,,,,,,
2,0.521100,0.156889,,,,,,,,,,
4,0.649605,0.081154,,,,,,,,,,
4,0.638114,0.081154,,,,,,,,,,
4,0.635803,0.076278,,,,,,,,,,
4,0.639192,0.081152,,,,,,,,,,
4,0.635908,0.079556,,,,,,,,,,
4,0.647629,0.078632,,,,,,,,,,
4,0.649152,0.078437,,,,,,,,,,
4,0.645254,0.076013,,,,,,,,,,
8,0.971259,0.040720,,,,,,,,,,
8,0.886739,0.040547,,,,,,,,,,
8,0.709508,0.040576,,,,,,,,,,
8,0.720440,0.040555,,,,,,,,,,
8,0.724658,0.040572,,,,,,,,,,
8,0.734420,0.040563,,,,,,,,,,
8,0.720986,0.040894,,,,,,,,,,
8,0.722394,0.039298,,,,,,,,,,
